,paragraph
850,Installation of TD transformers that comply with the Tier 2 2021 requirements from Regulation 5482014 on the ecodesign of small medium and large power transformers and for medium power transformers with highest voltage for equipment not exceeding 36 kV with AAA0 level requirements on noload losses set out in standard EN 50588 1
851,To determine eligibility it is possible to consider a System covering multiple control areas which are interconnected and with significant energy exchanges between them In such a case the weighted average emissions factor across all included control areas is used to determine eligibility and individual subordinated transmission or distribution systems within this System will not be required to demonstrate compliance separately
852,It is possible for a System to become ineligible after having previously been eligible In Systems that become ineligible no new TD activities are eligible from that moment onward until the system is again in compliance with the threshold except for those activities which are always eligible see above Activities in subordinated Systems may still be eligible if these subordinated Systems meet the criteria of this Taxonomy
853,Increasing access to electricity will support its decarbonisation by enabling more consumers to transition from carbonintensive energy supply while increasing the utilisation of renewable energy As countries continue to fulfil their decarbonisation objectives there will be fewer and fewer investments in transmission and distribution which are not climate aligned
854,Under this logic we propose that most investments in electricity transmission and distribution infrastructure in Systems where a significant majority of new generation capacity is from low carbon generation sources should be considered climatealigned under the EU Taxonomy
855,The impacts of transmission and distribution lines are a function of the spatial alignment of the grid the structures and conductors required for various voltages the extent to which preexisting corridors are used and how the transmission and distribution lines are operated and maintained The most common environmental impacts of electricity transmission and distribution infrastructure are visual ecosystem and land use In the cases of underground offshore electricity lines water and marine resources may be impacted
856,State ambition to maximise recycling at end of life based on BAT at time of decommissioning eg through contractual agreements with recycling partners reflection in financial projections or official project documentation
857,Respect applicable norms and regulations to limit impact of electromagnetic radiation on human health For Europe The applicable guidelines in force in are the Council recommendation on the limitation of exposure of the general public to electromagnetic fields 0 Hz to 300 GHz 1999519EC Outside Europe 1998 ICNIRP International Commission on NonIonizing Radiation Protection261
858,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
859,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
860,Avoid routings with heavy impact on marine and terrestrial ecosystems proven by an ESIA UNESCO World Heritage Sites and Key Biodiversity Areas KBAs and follow the principles of IFC General EHS Guidelines for construction site activities
861,Electricity Storage is defined according to article 259 of the recast Electricity Directive as In the electricity system deferring the final use of electricity to a moment later than when it was generated or the conversion of electrical energy into a form of energy which can be stored the storing of such energy and the subsequent reconversion of such energy into electrical energy or use as another energy carrier
862,Electricity storage can support the integration of renewable energy systems into electricity transmission and distribution It can balance centralized and distributed electricity generation while also contributing to energy security It will supplement demand response and flexible generation and complement grid development It can also contribute to the decarbonisation of other economic sectors and support the integration of higher shares of variable renewable energy variable RES in transport buildings or industry
863,At current levels of storage capacity available in European markets all additional storage capacity should be beneficial to the EU climate change mitigation objectives this will be subject to review in later taxonomy updates
864,State ambition to maximise recycling at end of life based on BAT at time of decommissioning eg through contractual agreements with recycling partners reflection in financial projections or official project documentation
865,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
866,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
867,Storage of thermal energy is one way of making use at a later time of thermal energy that is available at a time of low demand It could thus avoid the need to produce the thermal energy with fossil fuels
868,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure
869,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
870,State ambition to maximise recycling at end of life based on BAT at time of decommissioning eg through contractual agreements with recycling partners reflection in financial projections or official project documentation
871,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
872,Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
873,The Manufacture of Biomass Biogas and Biofuel can deliver mitigation benefits but if done incorrectly can have no net positive impact or even a negative impact Thus the eligibility criteria are based on existing EU regulation but seek to advance the agenda by restricting eligibility to advanced bioenergy feedstocks
874,The key environmental aspects to be taken into account when investing in this activity are the impact on local water consumption and sewage the fulfilment of the applicable waste and recycling criteria and the avoidance of direct impacts on sensitive ecosystems species or habitats
875,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
876,For biogas production the resulting digestate meets the requirements for fertilising materials in Proposed Regulation COM 2016  157 or national rules on fertilisers soil improvers for agricultural use or the conditions established by the competent authority for a safe use
877,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
878,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
879,In case of AD plants treating over 100 tday emissions to air and water are within the Best Available Techniques  Associated Emission Levels BAT AEL ranges set for anaerobic treatment of waste in the BREF for waste treatment 262 In case of AD emissions to air eg SOx NOx after combustion of biogas are controlled abated when needed and within the limits set by EU and respective national legislation
880,Retrofit of gas networks whose main purpose is the integration of captured CO2 is eligible if the operation of the pipeline meets the criteria outlined for the transportation of captured CO2 Gas network expansion is not eligible
881,Electrification of the energy sector will not be sufficient to fulfil the EUs netzero by 2050 target Moleculebased energy will continue to have a role to play in the future energy supply This is particularly pertinent to supporting the uptake of hydrogen but one with an enormous capacity to decarbonise the electricity transport and manufacturing sectors
882,The main potential significant harm to other environmental objectives from retrofit and operation of existing gas distribution and supply networks that allow for the use of hydrogen and other low carbon gas systems are associated with
883,connected with construction like terrestrial habitat alteration loss of valuable ecosystems land consumption overburden disposal negative impacts on biodiversity emissions of particles and NOx noise and hazardous materials For larger projects an ESIA should be done
884,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
885,Ensure appropriate measures are in place to minimize and manage waste and material use in construction and decommission phases Thresholds European Directives 2018850 2018851 2018852 and BREF document264
886,Fans compressors pumps and other equipment which is covered by the Ecodesign Directive and used must comply where relevant with the top class requirements of the energy label and otherwise comply with the latest implementing measures of the Ecodesign Directive and represent the best available technology
887,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
888,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
889,Construction and operation of pipelines and associated infrastructure for distributing heating and cooling is currently eligible if the system meets the definition of efficient district heatcool systems in the EU Energy Efficiency Directive
890,The EU Energy Efficiency Directive defines efficient district heating and cooling as a district heating or cooling system using at least 50 renewable energy or 50 waste heat or 75 cogenerated heat or 50 of a combination of such energy and heat
891,Providing energy services in a lowcarbon manner particularly for heating and cooling distribution will require investments in newer and more efficient delivery models The Taxonomy criteria on District Heating and Cooling Networks provide guidance that seeks to foster the market as a whole and ultimately lower the emissions intensity of the energy services that society needs
892,For the construction of the mains the potential significant harms to the environmental objectives are constituted by the typical potential harms connected to construction of facilities in general This includes inter alia terrestrial habitat alteration loss of valuable ecosystem land consumption overburden disposal negative effects on biodiversity emissions of particles and NOx noise and hazardous materials
893,For the operation of the district heating networks potential significant impacts are considered low They relate mainly to the potential impact of underground district heating networks on drinking waterground water systems and local ecosystems through corrosion products from corrosion of the distribution system elements and applied water additives that may be nonbiodegradable265
894,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
895,Fans compressors pumps and other equipment which is covered by the Ecodesign Directive and used must comply where relevant with the top class requirements of the energy label and otherwise comply with the latest implementing measures of the Ecodesign Directive and represent the best available technology
896,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
897,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
898,Providing energy services in a lowcarbon manner particularly for heating and cooling distribution will require investments in newer and more efficient delivery models Heat pumps are an energy efficient heatingcooling method Heat pumps will play an important role in the European Unions decarbonisation efforts
899,The Taxonomy criteria on the Installation and Operation of Heat Pumps provide guidance that seeks to foster the market as a whole and ultimately lower the emissions intensity of the energy services that society needs
900,Any cogeneration technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool and power are below the declining threshold
901,CSP is currently derogated from performing a PCF assessment subject to regular review in accordance with the declining threshold CSP is currently deemed to be taxonomy eligible which is subject to regular review
902,Efficient and lowemissions cogeneration of heatingcooling and power will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that
903,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented  In the EU fulfil the requirements of EU water legislation
904,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
905,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
906,Any cogeneration technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool and power are below the declining threshold
907,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
908,Discharges to water bodies should comply with individual license conditions for specific operations where applicable andor national threshold values in line with the EU regulatory framework ie EU Water Framework Directive1 and Daughter Directives Emissions to air the operations of highenthalpy geothermal energy systems should ensure that adequate abatement systems are in place to comply with existing EU Air Quality Legislation and BAT267 including but not limited to 1 μgNm3 Hg
909,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
910,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management
911,Any cogeneration technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool and power are below the declining threshold
912,A full PCF shall be applied using project specific data where relevant and shall be subjected to review This assessment should include actual physical measurements ie methane leakage measurements across gas extraction transport and storage systems
913,Efficient and lowemissions cogeneration of heatingcooling and power will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
914,The key environmental aspects to be taken into account when investing in this activity are the impact on local water consumption and sewage the fulfilment of the applicable waste and recycling criteria the NOx and CO emissions control in line with BREF indicators and the avoidance of direct impacts on sensitive ecosystems species or habitats
915,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
916,Ensure emissions to air water and soil are prevented  minimized by employing the techniques included in the reference documents for the Best Available Techniques BAT  socalled BREFs  concerning  the activity in question or other techniques that provide for an equivalent level of environmental protection The Emission Limit Values set should be in line with the lower end of the BATAEL ranges included therein ensuring at the same time that no significant crossmedia effects occur268
917,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
918,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and
919,Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
920,Efficient and lowemissions cogeneration of heatingcooling and power will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
921,The Cogeneration of HeatCool and Power from Bioenergy can deliver mitigation benefits but if done incorrectly can have no net positive impact or even a negative impact Thus the eligibility criteria are based on existing EU regulation but seek to advance the agenda by setting a higher threshold on the required GHG emissions savings outlined in RED II and restricting eligibility to advanced bioenergy feedstocks
922,The key environmental aspects to be taken into account when investing in this activity are the impact on local water consumption and sewage the fulfilment of the applicable waste and recycling criteria the SO2 NOx dust and other emissions control in line with BREF Medium Combustions Plants Directive and the avoidance of direct impacts on sensitive ecosystems species or habitats
923,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
924,Implement measures concerning waste management required by the Commission Implementing Decision EU 20171442 under the Industrial Emissions Directive 201075EU relying to the extent possible on the JRCs BAT Reference Document for Large Combustion Plants These requirements apply for installations with a total rated thermal input of 50 MW or more
925,Ensure emissions to air water and soil are prevented  minimised by employing the techniques included in the reference documents for the Best Available Techniques BAT  socalled BREFs  concerning  the activity in question or
926,269 UBA 2017 Fehrenbach et al BIOMASS CASCADES Increasing resource efficiency by cascading use of biomass  from theory to practice TEXTE 532017 httpswwwumweltbundesamtdesitesdefaultfilesmedien1410publikationen201706 13_texte_532017_biokaskaden_summarypdf
927,other techniques that provide for an equivalent level of environmental protection The Emission Limit Values set should be in line with the lower end of the BATAEL ranges included therein ensuring at the same time that no significant crossmedia effects occur
928,conclusions for the combustion of solid biomass andor peat SO2 NOx dust CO Mercury HCl HF thresholds These requirements apply for installations with a total rated thermal input of 50 MW or more and that fall under the scope of the LCP BREF For the purpose of calculating the total rated thermal input of a combination of combustion plants referred to in paragraphs 1and 2 individual combustion plants with a rated thermal input below 15 MW shall not be considered
929,combustion plants with a rated thermal input equal to or greater than 1 MW and less than 50 MW medium combustion plants and for a combination formed by new medium combustion plants pursuant to Article 4 of this directive including a combination where the total rated thermal input is equal to or greater than 50 MW unless the combination forms a combustion plant covered the BREF document on Large Combustion Plants see above The following thresholds apply In general of Annex II SO2 NOx and dust thresholds
930,values laid down in EU Directive 200850EC272 Recommended values which are to be published by the European Commission DG ENV pursuant to Article 6 paragraph 9 and 10 of the Medium Combustion Plant Directive EU 20152193
931,Emissions in mgNm³ for biomass in large combustion plants SO2 NOx dust CO Mercury HCl HF for biomass and for liquid biofuels in medium combustion plants SO2 NOx dust for biogas in medium combustion plants SO2 NOx
932,In case of AD plants treating over 100 tday emissions to air and water are within the Best Available Techniques  Associated Emission Levels BAT AEL ranges set for anaerobic treatment of waste in the BREF for waste treatment 273 In case of AD emissions to air eg SOx NOx after combustion of biogas are controlled abated when needed and within the limits set by EU and respective national legislation
933,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
934,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
935,Any heatcool generation technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool are below the declining threshold
936,Efficient and lowemissions production of heating and cooling will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
937,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
938,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
939,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
940,Any heatcool generation technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool are below the declining threshold
941,Efficient and lowemissions production of heating and cooling will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
942,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
943,Discharges to water bodies should comply with individual license conditions for specific operations where applicable andor national threshold values in line with the EU regulatory framework ie EU Water Framework Directive1 and Daughter Directives Emissions to air the operations of highenthalpy geothermal energy systems should ensure that adequate abatement systems are in place to comply with existing EU Air Quality Legislation and BAT275 including but not limited to 1 μgNm3 Hg
944,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
945,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources  based on the conservation objectives of the protected area For such sitesoperations ensure that
946,Any heatcool generation technology can be included in the taxonomy if it can be demonstrated using an ISO 14067 or a GHG Protocol Product Lifecycle Standardcompliant Product Carbon Footprint PCF assessment that the life cycle impacts for producing 1 kWh of heatcool and power are below the declining threshold
947,A full PCF shall be applied using project specific data where relevant and shall be subjected to review This assessment should include actual physical measurements ie methane leakage measurements across gas extraction transport and storage systems
948,Efficient and lowemissions production of heating and cooling will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
949,The key environmental aspects to be taken into account when investing in this activity are the impact on local water consumption and sewage the fulfilment of the applicable waste and recycling criteria the NOx and CO emissions control in line with BREF indicators and the avoidance of direct impacts on sensitive ecosystems species or habitats
950,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
951,Ensure emissions to air water and soil are prevented  minimized by employing the techniques included in the reference documents for the Best Available Techniques BAT  socalled BREFs  concerning  the activity in question or other techniques that provide for an equivalent level of environmental protection The Emission Limit Values set should be in line with the lower end of the BATAEL ranges included therein ensuring at the same time that no significant crossmedia effects occur276
952,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or in the case of activities located in nonEU countries other equivalent national provisions or international standards for activities in nonEU countries eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  including ancillary services eg transport infrastructure and operations Ensure any required mitigation measures for protecting biodiversityecosystems have been implemented
953,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas UNESCO World Heritage sites and Key Biodiversity Areas KBAs as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or in the case of activities located in nonEU countries other equivalent national provisions or international standards eg IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management
954,Efficient and lowemissions production of heating and cooling will be required if Europe is to meet its netzero by 2050 target A powertoheat ratio has been adopted to draw an equivalence between the declining emissions intensity threshold set on the production of electricity and that which applies to production of heatingcooling
955,The Production of HeatCool and Power from Bioenergy can deliver mitigation benefits but if done incorrectly can have no net positive impact or even a negative impact Thus the eligibility criteria are based on existing EU regulation but seek to advance the agenda by setting a higher threshold on the required GHG emissions savings outlined in RED II and restricting eligibility to advanced bioenergy feedstocks
956,The key environmental aspects to be taken into account when investing in this activity are the impact on local water consumption and sewage the fulfillment of the applicable waste and recycling criteria the SO2 NOx dust and other emissions control in line with BREF Medium Combustions Plants Directive and the avoidance of direct impacts on sensitive ecosystems species or habitats
957,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
958,Ensure appropriate measure are in place to minimize and manage waste and material use in accordance with BREF for Large Combustion Plants278 These requirements apply for installations with a total rated thermal input of 50 MW or more
959,Ensure emissions to air water and soil are prevented  minimised by employing the techniques included in the reference documents for the Best Available Techniques BAT  socalled BREFs  concerning  the activity in question or other techniques that provide for an equivalent level of environmental protection The Emission Limit Values set should be in line with the lower end of the BATAEL
960,277 UBA 2017 Fehrenbach et al BIOMASS CASCADES Increasing resource efficiency by cascading use of biomass  from theory to practice TEXTE 532017 httpswwwumweltbundesamtdesitesdefaultfilesmedien1410publikationen201706 13_texte_532017_biokaskaden_summarypdf
